City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
3,Rikitea,PF,77.95,overcast clouds,-23.1203,-134.9692,People ThankYou
4,Villa Maria,AR,75.67,clear sky,-32.4075,-63.2402,Hotel Milenium
5,Vaini,TO,76.35,light rain,-21.2,-175.2,Keleti Beach Resort
6,Bengkulu,ID,83.93,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
8,Hilo,US,76.73,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
12,Alugan,PH,82.72,clear sky,12.2188,125.4808,JM Lodge
13,Atuona,PF,78.91,scattered clouds,-9.8,-139.0333,Villa Enata
17,Payo,ID,84.0,overcast clouds,-3.7508,103.6372,Mess keban agung
22,Lakatoro,VU,85.64,few clouds,-16.0999,167.4164,Lakatoro Palm Lodge
24,Bambous Virieux,MU,79.21,clear sky,-20.3428,57.7575,Casa Tia Villa
29,Sumbe,AO,75.58,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
30,Dhidhdhoo,MV,80.67,clear sky,6.8833,73.1,Dhidhoo beach
32,Carnarvon,AU,80.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
46,Tiarei,PF,86.0,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
56,Rawson,AR,75.61,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
57,Buala,SB,83.25,light rain,-8.145,159.5921,Maringe Lagoon Lodge
65,Avarua,CK,78.85,heavy intensity rain,-21.2078,-159.775,Paradise Inn
66,Souillac,MU,79.36,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
69,Pundaguitan,PH,81.21,scattered clouds,6.3711,126.1689,Leonardo Family Beach House 1
70,Butaritari,KI,79.36,light rain,3.0707,172.7902,Isles Sunset Lodge
79,Makakilo City,US,75.52,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
83,Flinders,AU,77.18,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
86,Lamu,KE,79.02,broken clouds,-2.2717,40.902,Lamu House
89,Kapaa,US,76.98,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
95,Mahebourg,MU,79.25,clear sky,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
97,Hobart,AU,77.02,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
98,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
101,New Norfolk,AU,76.66,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
106,Pedasi,PA,75.07,clear sky,7.5333,-80.0333,Selina Pedasi
114,Merauke,ID,85.23,overcast clouds,-8.4667,140.3333,
115,Sibut,CF,79.07,overcast clouds,5.718,19.0739,
120,Caravelas,BR,77.14,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
121,Ballina,AU,82.58,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
123,Saint-Philippe,RE,76.21,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
