City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Port Elizabeth,ZA,-33.918,25.5701,69.1,93,28,13.96,scattered clouds
1,Iqaluit,CA,63.7506,-68.5145,-16.37,94,100,3.04,overcast clouds
2,Dikson,RU,73.5069,80.5464,-1.41,94,100,11.41,overcast clouds
3,Rikitea,PF,-23.1203,-134.9692,77.95,80,100,21.09,overcast clouds
4,Villa Maria,AR,-32.4075,-63.2402,75.67,35,0,12.44,clear sky
5,Vaini,TO,-21.2,-175.2,76.35,81,100,11.68,light rain
6,Bengkulu,ID,-3.8004,102.2655,83.93,62,65,1.36,broken clouds
7,Mataura,NZ,-46.1927,168.8643,72.48,37,81,9.78,light rain
8,Hilo,US,19.7297,-155.09,76.73,79,0,3.44,clear sky
9,Cidreira,BR,-30.1811,-50.2056,72.0,65,22,18.41,few clouds
10,Severo-Kurilsk,RU,50.6789,156.125,31.41,89,100,22.28,light snow
11,Ushuaia,AR,-54.8,-68.3,39.94,95,38,3.78,scattered clouds
12,Alugan,PH,12.2188,125.4808,82.72,69,3,5.68,clear sky
13,Atuona,PF,-9.8,-139.0333,78.91,74,40,20.04,scattered clouds
14,Ruwi,OM,23.5996,58.5507,60.49,52,0,3.2,clear sky
15,Aitape,PG,-3.1374,142.3475,74.73,96,100,2.46,overcast clouds
16,Winnemucca,US,40.973,-117.7357,30.25,80,0,3.44,clear sky
17,Payo,ID,-3.7508,103.6372,84.0,68,100,3.24,overcast clouds
18,Punta Arenas,CL,-53.15,-70.9167,46.51,71,0,6.91,clear sky
19,Grindavik,IS,63.8424,-22.4338,34.27,86,0,5.75,clear sky
20,Provideniya,RU,64.3833,-173.3,1.08,65,0,11.32,clear sky
21,Twentynine Palms,US,34.1356,-116.0542,59.34,37,53,4.0,broken clouds
22,Lakatoro,VU,-16.0999,167.4164,85.64,64,16,11.07,few clouds
23,Winkler,CA,49.1817,-97.941,-5.08,81,25,19.33,scattered clouds
24,Bambous Virieux,MU,-20.3428,57.7575,79.21,79,1,3.53,clear sky
25,Bredasdorp,ZA,-34.5322,20.0403,70.29,97,35,4.52,scattered clouds
26,Guerrero Negro,MX,27.9769,-114.0611,59.05,76,98,7.99,overcast clouds
27,Jamestown,US,42.097,-79.2353,33.71,36,100,11.01,overcast clouds
28,Boma,GH,7.0805,-2.1697,67.68,55,15,1.61,few clouds
29,Sumbe,AO,-11.2061,13.8437,75.58,89,99,6.82,overcast clouds
30,Dhidhdhoo,MV,6.8833,73.1,80.67,72,0,8.86,clear sky
31,Ilulissat,GL,69.2167,-51.1,12.22,62,100,4.61,overcast clouds
32,Carnarvon,AU,-24.8667,113.6333,80.67,54,0,21.85,clear sky
33,Palmer,US,42.1584,-72.3287,20.62,69,40,5.75,scattered clouds
34,Kaitangata,NZ,-46.2817,169.8464,66.92,76,100,3.31,overcast clouds
35,Vrangel,RU,42.7297,133.0839,15.94,43,0,8.55,clear sky
36,Waipawa,NZ,-41.4122,175.5153,68.94,47,100,17.74,overcast clouds
37,Kruisfontein,ZA,-34.0033,24.7314,66.88,95,16,6.51,few clouds
38,Seoul,KR,37.5683,126.9778,39.61,59,11,1.45,few clouds
39,Atbasar,KZ,51.8,68.3333,9.68,89,100,16.04,overcast clouds
40,Saint Anthony,US,45.0205,-93.218,25.0,72,40,16.11,scattered clouds
41,Algiers,DZ,36.7525,3.042,42.62,81,40,8.05,scattered clouds
42,Upernavik,GL,72.7868,-56.1549,8.69,95,100,7.63,overcast clouds
43,Kampene,CD,-3.6,26.6667,69.21,97,100,1.3,light rain
44,Kodiak,US,57.79,-152.4072,27.91,74,100,14.97,overcast clouds
45,Qaanaaq,GL,77.484,-69.3632,-7.73,84,59,5.93,broken clouds
46,Tiarei,PF,-17.5333,-149.3333,86.0,74,13,3.76,light rain
47,Chiradzulu,MW,-15.6746,35.1407,64.09,98,100,2.77,light rain
48,Shellbrook,CA,53.2168,-106.4011,-22.13,95,17,7.43,few clouds
49,Busselton,AU,-33.65,115.3333,70.09,38,0,14.97,clear sky
50,Mar Del Plata,AR,-38.0023,-57.5575,72.09,92,0,3.0,clear sky
51,Mount Isa,AU,-20.7333,139.5,101.97,8,0,6.91,clear sky
52,Rio Grande,BR,-32.035,-52.0986,71.11,66,82,18.7,broken clouds
53,Yellowknife,CA,62.456,-114.3525,-19.59,84,54,11.01,broken clouds
54,Vostok,RU,46.4856,135.8833,0.41,88,60,3.38,broken clouds
55,East London,ZA,-33.0153,27.9116,72.66,91,84,15.3,light rain
56,Rawson,AR,-43.3002,-65.1023,75.61,52,82,4.52,broken clouds
57,Buala,SB,-8.145,159.5921,83.25,77,39,9.1,light rain
