City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kahului,US,2022-01-05 20:28:52,20.8947,-156.47,80.96,68,20,5.75
1,Hobart,AU,2022-01-05 20:23:54,-42.8794,147.3294,60.03,76,75,4.61
2,Erenhot,CN,2022-01-05 20:28:52,43.6475,111.9767,12.02,54,0,4.68
3,Kieta,PG,2022-01-05 20:28:52,-6.2167,155.6333,79.93,82,86,2.51
4,Hualmay,PE,2022-01-05 20:28:53,-11.0964,-77.6139,74.48,73,33,10.02
5,Avera,US,2022-01-05 20:28:53,33.194,-82.5271,62.11,47,8,11.27
6,Buala,SB,2022-01-05 20:28:54,-8.145,159.5921,80.67,83,99,6.62
7,Ayagoz,KZ,2022-01-05 20:28:54,47.9714,80.4392,22.24,98,100,2.42
8,Nanortalik,GL,2022-01-05 20:28:55,60.1432,-45.2371,22.77,73,100,24.54
9,Betioky,MG,2022-01-05 20:28:55,-23.7167,44.3833,71.89,79,69,2.01
10,Port Alfred,ZA,2022-01-05 20:28:56,-33.5906,26.891,68.92,74,100,9.91
11,Upernavik,GL,2022-01-05 20:28:56,72.7868,-56.1549,-0.6,100,98,8.57
12,Gravdal,NO,2022-01-05 20:28:57,68.1214,13.5031,28.29,43,40,21.85
13,Clyde River,CA,2022-01-05 20:28:57,70.4692,-68.5914,-3.41,70,100,21.9
14,Jamestown,US,2022-01-05 20:28:58,42.097,-79.2353,43.92,65,90,12.66
15,Ushuaia,AR,2022-01-05 20:28:44,-54.8,-68.3,62.22,47,20,29.93
16,Shihezi,CN,2022-01-05 20:28:58,44.3,86.0333,14.77,90,100,2.84
17,Katsuura,JP,2022-01-05 20:28:59,35.1333,140.3,38.19,64,100,10.13
18,Broome,US,2022-01-05 20:28:59,42.2506,-75.833,41.47,67,1,1.99
19,Puerto Ayora,EC,2022-01-05 20:28:59,-0.7393,-90.3518,80.56,79,89,9.84
20,Jijiang,CN,2022-01-05 20:28:59,29.2906,106.2542,51.37,89,100,2.3
21,Cape Town,ZA,2022-01-05 20:29:00,-33.9258,18.4232,68.41,72,0,4.0
22,Barentu,ER,2022-01-05 20:29:00,15.1139,37.5928,67.33,45,43,4.94
23,Kavaratti,IN,2022-01-05 20:29:01,10.5669,72.642,80.33,71,20,6.33
24,Rikitea,PF,2022-01-05 20:29:02,-23.1203,-134.9692,76.59,66,19,5.32
25,Khatanga,RU,2022-01-05 20:29:02,71.9667,102.5,-14.17,100,97,1.16
26,Korla,CN,2022-01-05 20:29:03,41.7597,86.1469,24.13,54,100,3.71
27,Saint George,US,2022-01-05 20:24:04,37.1041,-113.5841,58.32,52,1,0.0
28,Amurzet,RU,2022-01-05 20:29:04,47.6967,131.0981,-4.41,95,100,4.47
29,Luderitz,NA,2022-01-05 20:29:04,-26.6481,15.1594,63.36,76,0,16.2
30,Botwood,CA,2022-01-05 20:29:04,49.1499,-55.3482,27.9,84,98,9.17
31,Punta Arenas,CL,2022-01-05 20:29:05,-53.15,-70.9167,60.91,51,75,34.52
32,Nouadhibou,MR,2022-01-05 20:29:05,20.931,-17.0347,73.38,38,100,6.91
33,Porto Belo,BR,2022-01-05 20:29:06,-27.1578,-48.5531,77.9,93,85,15.17
34,Kapoeta,SS,2022-01-05 20:29:07,4.7717,33.5903,82.96,33,49,3.02
35,Ilulissat,GL,2022-01-05 20:29:07,69.2167,-51.1,30.22,37,75,14.97
36,Hasaki,JP,2022-01-05 20:29:07,35.7333,140.8333,30.6,52,92,9.08
37,Alyangula,AU,2022-01-05 20:29:07,-13.8483,136.4192,84.07,79,100,3.44
38,Gboko,NG,2022-01-05 20:29:08,7.3179,8.9951,83.61,22,13,6.49
39,Mataura,NZ,2022-01-05 20:29:09,-46.1927,168.8643,52.48,81,61,6.22
40,Skjervoy,NO,2022-01-05 20:29:09,70.0311,20.9714,21.38,59,100,28.5
41,Kapaa,US,2022-01-05 20:29:09,22.0752,-159.319,79.2,73,1,1.99
42,Olafsvik,IS,2022-01-05 20:29:10,64.8945,-23.7142,38.59,96,100,28.57
43,Nemuro,JP,2022-01-05 20:29:10,43.3236,145.575,24.67,67,93,18.63
44,Kroya,ID,2022-01-05 20:29:11,-7.6331,109.2461,76.59,79,88,2.17
45,Busselton,AU,2022-01-05 20:29:11,-33.65,115.3333,65.05,78,0,9.28
46,Inuvik,CA,2022-01-05 20:24:51,68.3499,-133.7218,-3.42,80,100,12.8
47,Bathsheba,BB,2022-01-05 20:29:11,13.2167,-59.5167,83.01,61,40,13.8
48,Bandarbeyla,SO,2022-01-05 20:29:12,9.4942,50.8122,77.41,77,54,14.94
49,Sabang,ID,2022-01-05 20:30:12,5.8933,95.3214,81.54,77,100,15.59
50,Atuona,PF,2022-01-05 20:30:13,-9.8,-139.0333,78.64,72,67,15.82
51,Yenagoa,NG,2022-01-05 20:30:13,4.9247,6.2642,80.64,71,24,4.18
52,Meridian,US,2022-01-05 20:27:52,43.6121,-116.3915,39.85,89,75,5.99
53,Albany,US,2022-01-05 20:30:01,42.6001,-73.9662,43.38,79,100,1.01
54,Bethel,US,2022-01-05 20:30:14,41.3712,-73.414,44.51,91,90,4.61
55,Brae,GB,2022-01-05 20:30:14,60.3964,-1.353,37.31,59,94,9.24
56,Kavos,GR,2022-01-05 20:30:15,38.8268,22.8322,60.03,71,5,4.25
57,Half Moon Bay,US,2022-01-05 20:30:15,37.4636,-122.4286,64.8,87,90,1.01
58,Vaini,TO,2022-01-05 20:30:16,-21.2,-175.2,80.76,89,75,9.22
59,Avarua,CK,2022-01-05 20:30:16,-21.2078,-159.775,80.65,83,20,5.75
60,Beloha,MG,2022-01-05 20:30:17,-25.1667,45.05,73.81,93,81,8.77
61,Alice Springs,AU,2022-01-05 20:30:12,-23.7,133.8833,67.55,37,0,6.91
